date,base_currency,target_currency,rate,_fivetran_synced
2025-04-01,GBP,USD,1.288,2025-04-01T12:35:00Z
2025-04-01,GBP,EUR,1.1652,2025-04-01T05:58:00Z
2025-04-01,GBP,CAD,1.7134,2025-04-01T21:55:00Z
2025-04-01,GBP,AUD,1.916,2025-04-01T04:11:00Z
2025-04-02,GBP,USD,1.2808,2025-04-02T01:26:00Z
2025-04-02,GBP,EUR,1.1623,2025-04-02T23:49:00Z
2025-04-02,GBP,CAD,1.7384,2025-04-02T09:40:00Z
2025-04-02,GBP,AUD,1.9172,2025-04-02T04:12:00Z
2025-04-03,GBP,USD,1.2501,2025-04-03T08:00:00Z
2025-04-03,GBP,EUR,1.1683,2025-04-03T15:34:00Z
2025-04-03,GBP,CAD,1.7323,2025-04-03T19:56:00Z
2025-04-03,GBP,AUD,1.9297,2025-04-03T06:37:00Z
2025-04-04,GBP,USD,1.2764,2025-04-04T14:26:00Z
2025-04-04,GBP,EUR,1.1677,2025-04-04T19:38:00Z
2025-04-04,GBP,CAD,1.7003,2025-04-04T17:17:00Z
2025-04-04,GBP,AUD,1.9348,2025-04-04T17:52:00Z
2025-04-05,GBP,USD,1.283,2025-04-05T01:11:00Z
2025-04-05,GBP,EUR,1.1559,2025-04-05T20:22:00Z
2025-04-05,GBP,CAD,1.7015,2025-04-05T01:42:00Z
2025-04-05,GBP,AUD,1.9331,2025-04-05T19:19:00Z
2025-04-06,GBP,USD,1.2632,2025-04-06T02:03:00Z
2025-04-06,GBP,EUR,1.1544,2025-04-06T05:10:00Z
2025-04-06,GBP,CAD,1.7269,2025-04-06T19:42:00Z
2025-04-06,GBP,AUD,1.9377,2025-04-06T19:36:00Z
2025-04-07,GBP,USD,1.2815,2025-04-07T05:29:00Z
2025-04-07,GBP,EUR,1.18,2025-04-07T11:59:00Z
2025-04-07,GBP,CAD,1.7014,2025-04-07T09:20:00Z
2025-04-07,GBP,AUD,1.9247,2025-04-07T12:52:00Z
2025-04-08,GBP,USD,1.2527,2025-04-08T13:53:00Z
2025-04-08,GBP,EUR,1.172,2025-04-08T09:30:00Z
2025-04-08,GBP,CAD,1.7054,2025-04-08T22:55:00Z
2025-04-08,GBP,AUD,1.921,2025-04-08T16:26:00Z
2025-04-09,GBP,USD,1.271,2025-04-09T22:13:00Z
2025-04-09,GBP,EUR,1.1745,2025-04-09T03:36:00Z
2025-04-09,GBP,CAD,1.7292,2025-04-09T20:33:00Z
2025-04-09,GBP,AUD,1.9495,2025-04-09T15:46:00Z
2025-04-10,GBP,USD,1.2775,2025-04-10T22:18:00Z
2025-04-10,GBP,EUR,1.1671,2025-04-10T10:16:00Z
2025-04-10,GBP,CAD,1.721,2025-04-10T19:22:00Z
2025-04-10,GBP,AUD,1.9471,2025-04-10T19:36:00Z
2025-04-11,GBP,USD,1.2699,2025-04-11T23:40:00Z
2025-04-11,GBP,EUR,1.1699,2025-04-11T05:56:00Z
2025-04-11,GBP,CAD,1.7244,2025-04-11T22:18:00Z
2025-04-11,GBP,AUD,1.9492,2025-04-11T00:07:00Z
2025-04-12,GBP,USD,1.251,2025-04-12T20:50:00Z
2025-04-12,GBP,EUR,1.1547,2025-04-12T06:51:00Z
2025-04-12,GBP,CAD,1.7246,2025-04-12T13:26:00Z
2025-04-12,GBP,AUD,1.9118,2025-04-12T11:35:00Z
2025-04-13,GBP,USD,1.2822,2025-04-13T06:00:00Z
2025-04-13,GBP,EUR,1.1756,2025-04-13T22:18:00Z
2025-04-13,GBP,CAD,1.7102,2025-04-13T02:19:00Z
2025-04-13,GBP,AUD,1.922,2025-04-13T17:20:00Z
2025-04-14,GBP,USD,1.2807,2025-04-14T03:43:00Z
2025-04-14,GBP,EUR,1.1633,2025-04-14T12:46:00Z
2025-04-14,GBP,CAD,1.7228,2025-04-14T00:53:00Z
2025-04-14,GBP,AUD,1.917,2025-04-14T10:53:00Z
2025-04-15,GBP,USD,1.2635,2025-04-15T21:30:00Z
2025-04-15,GBP,EUR,1.1866,2025-04-15T01:41:00Z
2025-04-15,GBP,CAD,1.7054,2025-04-15T04:40:00Z
2025-04-15,GBP,AUD,1.9284,2025-04-15T17:57:00Z
2025-04-16,GBP,USD,1.2634,2025-04-16T13:59:00Z
2025-04-16,GBP,EUR,1.1797,2025-04-16T16:19:00Z
2025-04-16,GBP,CAD,1.7226,2025-04-16T21:20:00Z
2025-04-16,GBP,AUD,1.9322,2025-04-16T00:13:00Z
2025-04-17,GBP,USD,1.2731,2025-04-17T10:51:00Z
2025-04-17,GBP,EUR,1.1866,2025-04-17T11:04:00Z
2025-04-17,GBP,CAD,1.7388,2025-04-17T08:53:00Z
2025-04-17,GBP,AUD,1.9112,2025-04-17T12:40:00Z
2025-04-18,GBP,USD,1.2714,2025-04-18T05:36:00Z
2025-04-18,GBP,EUR,1.1742,2025-04-18T05:38:00Z
2025-04-18,GBP,CAD,1.7047,2025-04-18T09:45:00Z
2025-04-18,GBP,AUD,1.9443,2025-04-18T22:02:00Z
2025-04-19,GBP,USD,1.2609,2025-04-19T02:31:00Z
2025-04-19,GBP,EUR,1.1851,2025-04-19T11:28:00Z
2025-04-19,GBP,CAD,1.7332,2025-04-19T09:13:00Z
2025-04-19,GBP,AUD,1.931,2025-04-19T05:07:00Z
2025-04-20,GBP,USD,1.265,2025-04-20T01:49:00Z
2025-04-20,GBP,EUR,1.1581,2025-04-20T02:28:00Z
2025-04-20,GBP,CAD,1.7202,2025-04-20T15:57:00Z
2025-04-20,GBP,AUD,1.93,2025-04-20T06:21:00Z
2025-04-21,GBP,USD,1.2869,2025-04-21T23:55:00Z
2025-04-21,GBP,EUR,1.1709,2025-04-21T10:09:00Z
2025-04-21,GBP,CAD,1.7308,2025-04-21T03:52:00Z
2025-04-21,GBP,AUD,1.9493,2025-04-21T16:43:00Z
2025-04-22,GBP,USD,1.2897,2025-04-22T06:46:00Z
