id,session_date,source,medium,campaign,device_category,pageviews,session_duration_seconds,_fivetran_synced
1,2025-10-11,google,cpc,google-brand-search-1,tablet,10,625,2025-10-11T21:52:00Z
2,2025-06-19,google,cpc,google-brand-search-2,tablet,12,627,2025-06-19T23:35:00Z
3,2025-08-05,google,cpc,google-brand-search-3,desktop,6,779,2025-08-05T17:47:00Z
4,2025-12-01,google,cpc,google-brand-search-4,mobile,9,537,2025-12-01T14:45:00Z
5,2025-12-10,google,cpc,google-brand-search-5,mobile,10,201,2025-12-10T11:58:00Z
6,2026-05-05,google,cpc,google-brand-search-6,mobile,1,318,2026-05-05T03:15:00Z
7,2025-08-09,google,cpc,google-brand-search-7,tablet,3,60,2025-08-09T16:55:00Z
8,2026-05-19,google,cpc,google-brand-search-8,mobile,10,842,2026-05-19T07:06:00Z
9,2025-09-15,google,cpc,google-brand-search-9,desktop,10,550,2025-09-15T23:12:00Z
10,2026-04-27,google,cpc,google-brand-search-10,tablet,2,168,2026-04-27T04:25:00Z
11,2025-04-06,google,cpc,google-brand-search-11,desktop,1,78,2025-04-06T09:19:00Z
12,2025-04-26,google,cpc,google-brand-search-12,tablet,11,725,2025-04-26T14:59:00Z
13,2025-10-22,google,cpc,google-brand-search-13,desktop,10,751,2025-10-22T23:04:00Z
14,2026-05-11,google,cpc,google-brand-search-14,mobile,12,677,2026-05-11T21:14:00Z
15,2026-06-11,google,cpc,google-brand-search-15,desktop,5,758,2026-06-11T18:04:00Z
16,2025-07-21,google,cpc,google-brand-search-16,mobile,2,27,2025-07-21T06:33:00Z
17,2026-05-21,google,cpc,google-brand-search-17,tablet,8,339,2026-05-21T04:57:00Z
18,2026-02-20,google,cpc,google-brand-search-18,tablet,8,145,2026-02-20T01:37:00Z
19,2026-02-08,google,cpc,google-brand-search-19,tablet,7,669,2026-02-08T10:53:00Z
20,2026-03-10,google,cpc,google-brand-search-20,mobile,5,173,2026-03-10T23:50:00Z
21,2026-03-08,google,cpc,google-brand-search-21,tablet,3,313,2026-03-08T00:21:00Z
22,2026-02-12,google,cpc,google-brand-search-22,tablet,11,164,2026-02-12T01:33:00Z
23,2025-07-03,google,cpc,google-brand-search-23,desktop,6,861,2025-07-03T07:01:00Z
24,2026-01-17,google,cpc,google-brand-search-24,mobile,7,448,2026-01-17T19:51:00Z
25,2025-05-23,google,cpc,google-brand-search-25,tablet,5,582,2025-05-23T19:25:00Z
26,2025-06-04,google,cpc,google-brand-search-26,tablet,9,846,2025-06-04T01:41:00Z
27,2026-06-13,google,cpc,google-brand-search-27,mobile,7,556,2026-06-13T04:56:00Z
28,2025-04-03,google,cpc,google-brand-search-28,desktop,8,684,2025-04-03T11:15:00Z
29,2026-02-16,google,cpc,google-brand-search-29,desktop,8,640,2026-02-16T13:26:00Z
30,2025-05-22,google,cpc,google-brand-search-30,tablet,7,595,2025-05-22T10:30:00Z
31,2025-06-18,google,cpc,google-brand-search-31,tablet,12,667,2025-06-18T09:54:00Z
32,2026-06-08,google,cpc,google-brand-search-32,desktop,5,263,2026-06-08T09:31:00Z
33,2025-08-10,google,cpc,google-brand-search-33,desktop,12,177,2025-08-10T10:14:00Z
34,2025-05-08,google,cpc,google-brand-search-34,tablet,4,503,2025-05-08T21:39:00Z
35,2025-09-09,google,cpc,google-brand-search-35,mobile,2,23,2025-09-09T01:31:00Z
36,2025-12-07,google,cpc,google-brand-search-36,mobile,4,667,2025-12-07T05:04:00Z
37,2025-09-27,google,cpc,google-non-brand-generic-37,desktop,4,439,2025-09-27T02:48:00Z
38,2026-01-20,google,cpc,google-non-brand-generic-38,tablet,3,56,2026-01-20T04:44:00Z
39,2025-09-18,google,cpc,google-non-brand-generic-39,tablet,12,865,2025-09-18T18:38:00Z
40,2026-04-05,google,cpc,google-non-brand-generic-40,desktop,10,213,2026-04-05T16:30:00Z
41,2025-07-09,google,cpc,google-non-brand-generic-41,desktop,8,51,2025-07-09T06:19:00Z
42,2026-04-10,google,cpc,google-non-brand-generic-42,desktop,5,882,2026-04-10T09:17:00Z
43,2026-06-08,google,cpc,google-non-brand-generic-43,mobile,5,573,2026-06-08T19:00:00Z
44,2026-05-05,google,cpc,google-non-brand-generic-44,mobile,8,451,2026-05-05T00:28:00Z
45,2026-04-19,google,cpc,google-non-brand-generic-45,tablet,7,896,2026-04-19T04:49:00Z
46,2025-07-25,google,cpc,google-non-brand-generic-46,mobile,2,15,2025-07-25T22:53:00Z
47,2025-11-27,google,cpc,google-non-brand-generic-47,mobile,6,88,2025-11-27T19:04:00Z
48,2026-05-08,google,cpc,google-non-brand-generic-48,mobile,11,44,2026-05-08T22:35:00Z
49,2026-06-11,google,cpc,google-non-brand-generic-49,mobile,2,504,2026-06-11T22:15:00Z
50,2026-03-03,google,cpc,google-non-brand-generic-50,desktop,9,617,2026-03-03T11:05:00Z
51,2025-08-16,google,cpc,google-non-brand-generic-51,mobile,7,207,2025-08-16T08:02:00Z
52,2026-02-04,google,cpc,google-non-brand-generic-52,desktop,9,823,2026-02-04T11:32:00Z
53,2025-04-01,google,cpc,google-non-brand-generic-53,mobile,6,567,2025-04-01T23:05:00Z
54,2026-04-09,google,cpc,google-non-brand-generic-54,tablet,2,338,2026-04-09T14:16:00Z
55,2025-08-17,google,cpc,google-non-brand-generic-55,tablet,10,411,2025-08-17T21:23:00Z
56,2025-08-06,google,cpc,google-non-brand-generic-56,tablet,11,129,2025-08-06T12:03:00Z
57,2026-02-26,google,cpc,google-non-brand-generic-57,mobile,8,12,2026-02-26T01:18:00Z
58,2025-04-06,google,cpc,google-non-brand-generic-58,tablet,4,858,2025-04-06T00:45:00Z
59,2025-09-07,google,cpc,google-non-brand-generic-59,mobile,5,130,2025-09-07T17:17:00Z
60,2025-04-10,google,cpc,google-non-brand-generic-60,desktop,10,817,2025-04-10T22:34:00Z
61,2025-06-16,google,cpc,google-non-brand-generic-61,desktop,2,833,2025-06-16T17:01:00Z
62,2026-03-15,google,cpc,google-non-brand-generic-62,desktop,10,401,2026-03-15T12:49:00Z
63,2025-06-22,google,cpc,google-non-brand-generic-63,tablet,12,50,2025-06-22T07:32:00Z
64,2025-10-08,google,cpc,google-non-brand-generic-64,tablet,9,418,2025-10-08T21:17:00Z
65,2026-02-16,google,cpc,google-non-brand-generic-65,tablet,12,31,2026-02-16T21:28:00Z
66,2025-12-30,google,cpc,google-non-brand-generic-66,tablet,1,165,2025-12-30T12:20:00Z
67,2025-06-20,google,cpc,google-non-brand-generic-67,tablet,12,356,2025-06-20T02:57:00Z
68,2025-10-13,google,cpc,google-non-brand-generic-68,mobile,12,457,2025-10-13T22:38:00Z
69,2025-07-15,google,cpc,google-non-brand-generic-69,desktop,12,252,2025-07-15T10:46:00Z
70,2025-10-31,google,cpc,google-non-brand-generic-70,desktop,4,66,2025-10-31T06:38:00Z
71,2025-11-26,google,cpc,google-non-brand-generic-71,mobile,5,880,2025-11-26T00:32:00Z
72,2025-12-16,google,cpc,google-non-brand-generic-72,desktop,7,509,2025-12-16T01:32:00Z
73,2026-04-04,google,cpc,google-non-brand-generic-73,tablet,9,504,2026-04-04T01:38:00Z
74,2025-06-26,google,cpc,google-non-brand-generic-74,desktop,11,742,2025-06-26T03:38:00Z
75,2026-03-25,google,cpc,google-non-brand-generic-75,tablet,2,563,2026-03-25T23:52:00Z
76,2026-03-21,google,cpc,google-non-brand-generic-76,tablet,5,896,2026-03-21T07:05:00Z
77,2025-07-12,google,cpc,google-shopping-feed-77,tablet,3,840,2025-07-12T12:24:00Z
78,2025-05-22,google,cpc,google-shopping-feed-78,desktop,6,560,2025-05-22T08:35:00Z
79,2025-09-21,google,cpc,google-shopping-feed-79,tablet,1,361,2025-09-21T05:51:00Z
