id,order_id,amount,currency,status,created_at,_fivetran_synced
pi_000001,1,115.91,usd,succeeded,2025-05-27,2025-05-27T17:26:00Z
pi_000002,2,205.02,eur,succeeded,2025-11-19,2025-11-19T11:48:00Z
pi_000003,3,64.18,eur,succeeded,2025-10-18,2025-10-18T06:26:00Z
pi_000004,4,81.35,eur,succeeded,2025-10-08,2025-10-08T19:17:00Z
pi_000005,5,82.04,eur,succeeded,2025-04-25,2025-04-25T10:49:00Z
pi_000006,6,215.16,eur,succeeded,2025-06-22,2025-06-22T11:40:00Z
pi_000007,7,111.94,cad,succeeded,2025-08-01,2025-08-01T03:42:00Z
pi_000008,8,92.48,eur,succeeded,2026-05-14,2026-05-14T21:40:00Z
pi_000009,9,277.33,aud,succeeded,2025-10-04,2025-10-04T17:34:00Z
pi_000010,12,39.99,gbp,succeeded,2026-05-02,2026-05-02T12:14:00Z
pi_000011,13,441.64,eur,succeeded,2025-08-17,2025-08-17T12:31:00Z
pi_000012,14,109.95,gbp,succeeded,2025-04-06,2025-04-06T14:18:00Z
pi_000013,15,190.38,eur,succeeded,2026-03-23,2026-03-23T14:10:00Z
pi_000014,16,77.13,cad,succeeded,2025-10-07,2025-10-07T05:25:00Z
pi_000015,17,317.35,eur,succeeded,2025-06-23,2025-06-23T10:48:00Z
pi_000016,18,82.47,eur,succeeded,2026-05-03,2026-05-03T14:41:00Z
pi_000017,19,256.11,eur,succeeded,2025-08-02,2025-08-02T05:43:00Z
pi_000018,20,43.27,cad,succeeded,2025-06-28,2025-06-28T03:24:00Z
pi_000019,21,75.71,eur,succeeded,2026-01-21,2026-01-21T18:41:00Z
pi_000020,22,629.56,cad,succeeded,2026-04-30,2026-04-30T20:01:00Z
pi_000021,23,20.77,eur,succeeded,2026-06-05,2026-06-05T19:14:00Z
pi_000022,25,24.99,gbp,succeeded,2025-05-10,2025-05-10T04:39:00Z
pi_000023,26,309.31,eur,succeeded,2026-02-15,2026-02-15T19:32:00Z
pi_000024,27,138.47,eur,succeeded,2026-01-05,2026-01-05T02:38:00Z
pi_000025,28,175.8,usd,succeeded,2025-07-21,2025-07-21T18:46:00Z
pi_000026,29,249.95,cad,succeeded,2025-10-19,2025-10-19T13:01:00Z
pi_000027,31,34.99,gbp,succeeded,2025-08-04,2025-08-04T10:39:00Z
pi_000028,32,137.01,cad,succeeded,2025-11-25,2025-11-25T07:10:00Z
pi_000029,35,261.02,eur,succeeded,2025-09-10,2025-09-10T18:40:00Z
pi_000030,37,110.28,eur,succeeded,2025-08-22,2025-08-22T00:47:00Z
pi_000031,38,469.07,cad,succeeded,2025-12-27,2025-12-27T19:56:00Z
pi_000032,40,94.88,eur,succeeded,2025-08-14,2025-08-14T20:24:00Z
pi_000033,41,31.16,cad,succeeded,2025-11-08,2025-11-08T17:32:00Z
pi_000034,42,114.75,aud,succeeded,2025-05-04,2025-05-04T06:54:00Z
pi_000035,43,81.15,eur,succeeded,2026-04-14,2026-04-14T05:29:00Z
pi_000036,44,211.39,eur,succeeded,2025-04-09,2025-04-09T11:46:00Z
