id,payment_id,amount,reason,created_at,_fivetran_synced
re_000001,pi_000008,92.48,fraudulent,2026-05-27,2026-05-27T10:32:00Z
re_000002,pi_000014,77.13,requested_by_customer,2025-10-12,2025-10-12T17:53:00Z
re_000003,pi_000019,75.71,duplicate,2026-01-28,2026-01-28T13:12:00Z
re_000004,pi_000029,261.02,fraudulent,2025-09-18,2025-09-18T02:23:00Z
re_000005,pi_000044,253.65,requested_by_customer,2025-10-18,2025-10-18T21:38:00Z
re_000006,pi_000045,226.74,requested_by_customer,2026-05-05,2026-05-05T14:32:00Z
re_000007,pi_000050,104.36,requested_by_customer,2025-11-02,2025-11-02T23:02:00Z
re_000008,pi_000051,167.43,fraudulent,2026-05-14,2026-05-14T15:55:00Z
re_000009,pi_000056,96.64,fraudulent,2025-07-16,2025-07-16T00:28:00Z
re_000010,pi_000065,106.26,requested_by_customer,2026-05-30,2026-05-30T03:09:00Z
re_000011,pi_000073,496.55,requested_by_customer,2026-01-22,2026-01-22T10:41:00Z
re_000012,pi_000079,339.65,duplicate,2025-04-30,2025-04-30T14:44:00Z
re_000013,pi_000085,65.21,fraudulent,2025-12-13,2025-12-13T11:45:00Z
re_000014,pi_000087,132.25,fraudulent,2026-01-23,2026-01-23T09:30:00Z
re_000015,pi_000092,265.12,duplicate,2026-04-01,2026-04-01T08:40:00Z
re_000016,pi_000102,58.81,requested_by_customer,2026-03-08,2026-03-08T18:54:00Z
re_000017,pi_000105,50.99,fraudulent,2026-02-27,2026-02-27T05:55:00Z
re_000018,pi_000122,46.26,fraudulent,2025-12-24,2025-12-24T06:23:00Z
re_000019,pi_000126,189.04,fraudulent,2025-07-25,2025-07-25T17:54:00Z
re_000020,pi_000128,40.59,duplicate,2025-09-26,2025-09-26T18:33:00Z
