id,ad_id,ad_set_id,date,name,status,impressions,clicks,spend,conversions,_fivetran_synced
1,1,1,2025-08-03,Facebook Cpc Retargeting Creative 1,active,4586,89,118.92,0,2025-08-03T08:24:00Z
2,1,1,2025-08-04,Facebook Cpc Retargeting Creative 1,active,1624,31,46.27,2,2025-08-04T07:40:00Z
3,1,1,2025-08-05,Facebook Cpc Retargeting Creative 1,active,4953,162,337.28,12,2025-08-05T11:30:00Z
4,1,1,2025-08-06,Facebook Cpc Retargeting Creative 1,active,4960,160,157.58,9,2025-08-06T10:24:00Z
5,1,1,2025-08-07,Facebook Cpc Retargeting Creative 1,active,2715,30,28.26,0,2025-08-07T08:03:00Z
6,1,1,2025-08-08,Facebook Cpc Retargeting Creative 1,active,4364,102,173.77,10,2025-08-08T05:06:00Z
7,1,1,2025-08-09,Facebook Cpc Retargeting Creative 1,active,2530,70,59.72,5,2025-08-09T23:03:00Z
8,1,1,2025-08-10,Facebook Cpc Retargeting Creative 1,active,2297,57,118.02,2,2025-08-10T05:11:00Z
9,1,1,2025-08-11,Facebook Cpc Retargeting Creative 1,active,2437,62,109.77,4,2025-08-11T18:01:00Z
10,1,1,2025-08-12,Facebook Cpc Retargeting Creative 1,active,3380,128,173.84,7,2025-08-12T06:53:00Z
11,1,1,2025-08-13,Facebook Cpc Retargeting Creative 1,active,4532,108,75.43,0,2025-08-13T01:14:00Z
12,1,1,2025-08-14,Facebook Cpc Retargeting Creative 1,active,5428,68,88.06,0,2025-08-14T19:12:00Z
13,1,1,2025-08-15,Facebook Cpc Retargeting Creative 1,active,1568,26,18.24,2,2025-08-15T10:03:00Z
14,1,1,2025-08-16,Facebook Cpc Retargeting Creative 1,active,679,6,9.59,0,2025-08-16T03:54:00Z
15,1,1,2025-08-17,Facebook Cpc Retargeting Creative 1,active,4811,168,341.54,6,2025-08-17T21:25:00Z
16,1,1,2025-08-18,Facebook Cpc Retargeting Creative 1,active,5300,45,41.09,0,2025-08-18T05:46:00Z
17,1,1,2025-08-19,Facebook Cpc Retargeting Creative 1,active,4078,133,270.41,8,2025-08-19T05:45:00Z
18,1,1,2025-08-20,Facebook Cpc Retargeting Creative 1,active,5103,149,294.88,11,2025-08-20T07:42:00Z
19,1,1,2025-08-21,Facebook Cpc Retargeting Creative 1,active,5324,178,185.7,13,2025-08-21T09:08:00Z
20,1,1,2025-08-22,Facebook Cpc Retargeting Creative 1,active,1955,59,118.76,5,2025-08-22T12:54:00Z
21,1,1,2025-08-23,Facebook Cpc Retargeting Creative 1,active,5148,31,44.15,2,2025-08-23T19:14:00Z
22,1,1,2025-08-24,Facebook Cpc Retargeting Creative 1,active,5739,142,282.92,1,2025-08-24T23:04:00Z
