id,ad_id,date,impressions,clicks,cost,conversions,_fivetran_synced
1,1,2025-08-23,582,43,66.14,0,2025-08-23T15:30:00Z
2,1,2025-08-24,1075,75,121.01,1,2025-08-24T00:24:00Z
3,1,2025-08-25,1286,96,139.12,3,2025-08-25T22:46:00Z
4,1,2025-08-26,3408,166,225.06,3,2025-08-26T09:13:00Z
5,1,2025-08-27,439,22,24.4,1,2025-08-27T01:03:00Z
6,1,2025-08-28,2592,112,183.36,7,2025-08-28T01:32:00Z
7,1,2025-08-29,528,36,16.05,0,2025-08-29T07:25:00Z
8,1,2025-08-30,691,52,59.67,3,2025-08-30T01:39:00Z
9,1,2025-08-31,535,21,24.51,1,2025-08-31T08:13:00Z
10,1,2025-09-01,2943,176,120.41,8,2025-09-01T21:41:00Z
11,1,2025-09-02,1428,59,97.39,6,2025-09-02T00:29:00Z
12,1,2025-09-03,2744,219,382.05,1,2025-09-03T06:32:00Z
13,1,2025-09-04,1286,24,20.13,0,2025-09-04T07:23:00Z
14,1,2025-09-05,1367,28,42.48,2,2025-09-05T19:51:00Z
15,1,2025-09-06,2878,135,173.48,8,2025-09-06T21:06:00Z
16,1,2025-09-07,3796,73,37.35,0,2025-09-07T17:09:00Z
17,1,2025-09-08,1315,39,25.15,1,2025-09-08T21:40:00Z
18,1,2025-09-09,3693,105,108.56,11,2025-09-09T01:05:00Z
19,1,2025-09-10,2798,110,81.11,0,2025-09-10T04:40:00Z
20,1,2025-09-11,1272,27,26.15,2,2025-09-11T17:00:00Z
21,1,2025-09-12,658,10,15.86,1,2025-09-12T17:02:00Z
22,1,2025-09-13,3618,129,144.94,6,2025-09-13T01:19:00Z
23,1,2025-09-14,1693,123,180.14,12,2025-09-14T11:13:00Z
24,1,2025-09-15,2993,82,40.5,7,2025-09-15T13:39:00Z
25,1,2025-09-16,3269,68,112.32,7,2025-09-16T05:56:00Z
26,2,2025-08-11,3404,255,375.65,26,2025-08-11T07:17:00Z
27,2,2025-08-12,852,55,27.57,5,2025-08-12T15:14:00Z
28,2,2025-08-13,1017,68,67.62,2,2025-08-13T07:14:00Z
29,2,2025-08-14,296,16,14.53,0,2025-08-14T02:49:00Z
30,2,2025-08-15,1343,46,48.91,3,2025-08-15T17:21:00Z
31,2,2025-08-16,313,5,8.54,0,2025-08-16T08:02:00Z
32,2,2025-08-17,644,33,27.52,3,2025-08-17T13:38:00Z
33,2,2025-08-18,2294,41,65.98,0,2025-08-18T01:45:00Z
34,2,2025-08-19,1986,20,32.92,1,2025-08-19T23:47:00Z
35,2,2025-08-20,3218,183,157.36,1,2025-08-20T21:58:00Z
36,2,2025-08-21,1552,83,106.14,1,2025-08-21T09:32:00Z
37,2,2025-08-22,1466,83,66.95,6,2025-08-22T17:08:00Z
38,2,2025-08-23,985,38,63.33,3,2025-08-23T05:39:00Z
39,2,2025-08-24,2531,78,87.13,0,2025-08-24T09:13:00Z
40,2,2025-08-25,1960,127,152.31,4,2025-08-25T14:28:00Z
41,2,2025-08-26,2967,74,74.92,8,2025-08-26T23:10:00Z
42,2,2025-08-27,2898,46,49.3,3,2025-08-27T10:05:00Z
43,2,2025-08-28,3552,272,184.64,10,2025-08-28T06:09:00Z
44,2,2025-08-29,300,3,5.18,0,2025-08-29T02:29:00Z
45,2,2025-08-30,1897,136,157.21,11,2025-08-30T12:31:00Z
46,2,2025-08-31,1836,49,62.16,0,2025-08-31T03:49:00Z
47,2,2025-09-01,1941,49,72.31,4,2025-09-01T14:03:00Z
48,2,2025-09-02,2483,68,104.56,3,2025-09-02T14:42:00Z
49,2,2025-09-03,2375,187,221.34,21,2025-09-03T14:39:00Z
50,2,2025-09-04,3538,213,225.07,21,2025-09-04T17:28:00Z
51,2,2025-09-05,3874,81,126.04,4,2025-09-05T07:53:00Z
52,2,2025-09-06,2811,82,117.98,4,2025-09-06T07:17:00Z
53,2,2025-09-07,2001,30,22.5,0,2025-09-07T10:57:00Z
54,2,2025-09-08,2412,37,20.76,1,2025-09-08T04:45:00Z
55,2,2025-09-09,1076,15,13.81,0,2025-09-09T13:03:00Z
56,2,2025-09-10,1047,71,63.56,6,2025-09-10T22:01:00Z
57,2,2025-09-11,3709,265,306.33,15,2025-09-11T11:19:00Z
58,2,2025-09-12,3286,122,194.99,12,2025-09-12T17:47:00Z
59,2,2025-09-13,3209,154,183.96,4,2025-09-13T07:17:00Z
60,2,2025-09-14,1985,87,77.81,6,2025-09-14T12:46:00Z
61,3,2025-08-10,2387,28,25.25,1,2025-08-10T00:05:00Z
62,3,2025-08-11,2832,113,176.69,2,2025-08-11T08:24:00Z
63,3,2025-08-12,1540,38,30.69,3,2025-08-12T12:17:00Z
64,3,2025-08-13,3280,251,235.99,25,2025-08-13T15:01:00Z
65,3,2025-08-14,3268,156,272.98,6,2025-08-14T20:04:00Z
66,3,2025-08-15,3399,261,106.06,0,2025-08-15T07:12:00Z
67,3,2025-08-16,3637,41,23.1,0,2025-08-16T21:07:00Z
68,3,2025-08-17,2510,191,191.2,5,2025-08-17T11:10:00Z
69,3,2025-08-18,2681,140,195.59,1,2025-08-18T05:19:00Z
70,3,2025-08-19,642,32,52.81,2,2025-08-19T12:25:00Z
71,3,2025-08-20,3128,74,87.24,7,2025-08-20T07:06:00Z
72,3,2025-08-21,3055,195,300.38,14,2025-08-21T03:50:00Z
73,3,2025-08-22,2518,163,136.28,8,2025-08-22T11:04:00Z
74,3,2025-08-23,2272,125,45.96,6,2025-08-23T15:06:00Z
75,3,2025-08-24,1975,152,188.45,15,2025-08-24T22:09:00Z
76,3,2025-08-25,1983,44,47.54,3,2025-08-25T19:51:00Z
77,3,2025-08-26,3966,189,194.08,9,2025-08-26T23:37:00Z
78,3,2025-08-27,1299,42,29.14,4,2025-08-27T08:56:00Z
79,3,2025-08-28,2046,55,55.03,4,2025-08-28T12:21:00Z
80,3,2025-08-29,317,14,11.27,0,2025-08-29T11:51:00Z
81,3,2025-08-30,1258,42,66.46,3,2025-08-30T08:35:00Z
82,3,2025-08-31,241,11,6.79,0,2025-08-31T13:31:00Z
83,3,2025-09-01,2474,156,205.43,12,2025-09-01T15:28:00Z
84,3,2025-09-02,3447,38,28.95,1,2025-09-02T07:19:00Z
85,3,2025-09-03,2919,148,149.86,9,2025-09-03T13:47:00Z
86,3,2025-09-04,2454,81,108.05,2,2025-09-04T08:14:00Z
87,3,2025-09-05,694,41,32.46,3,2025-09-05T22:11:00Z
88,3,2025-09-06,984,24,24.67,2,2025-09-06T16:38:00Z
89,3,2025-09-07,1359,106,160.66,3,2025-09-07T11:11:00Z
90,3,2025-09-08,1438,15,16.47,0,2025-09-08T01:35:00Z
91,3,2025-09-09,1396,82,43.2,8,2025-09-09T15:06:00Z
92,3,2025-09-10,3774,40,29.92,2,2025-09-10T10:11:00Z
93,3,2025-09-11,410,11,17.12,0,2025-09-11T02:25:00Z
94,3,2025-09-12,2214,33,40.63,0,2025-09-12T04:51:00Z
95,3,2025-09-13,2505,191,89.63,5,2025-09-13T17:48:00Z
96,3,2025-09-14,1904,99,144.25,2,2025-09-14T16:24:00Z
97,3,2025-09-15,2045,150,114.94,10,2025-09-15T13:19:00Z
98,3,2025-09-16,2529,135,162.47,11,2025-09-16T06:40:00Z
99,3,2025-09-17,1064,30,13.91,0,2025-09-17T17:04:00Z
100,3,2025-09-18,841,8,7.85,0,2025-09-18T09:02:00Z
101,3,2025-09-19,1148,34,25.36,3,2025-09-19T02:43:00Z
102,3,2025-09-20,1156,86,124.95,6,2025-09-20T21:51:00Z
103,3,2025-09-21,1010,40,44.5,3,2025-09-21T08:52:00Z
104,3,2025-09-22,782,11,6.41,0,2025-09-22T23:52:00Z
105,4,2025-08-15,709,30,23.27,1,2025-08-15T08:32:00Z
106,4,2025-08-16,2411,107,49.5,0,2025-08-16T13:47:00Z
107,4,2025-08-17,1520,79,30.51,2,2025-08-17T21:53:00Z
108,4,2025-08-18,3724,187,314.37,22,2025-08-18T21:52:00Z
109,4,2025-08-19,1303,65,92.19,1,2025-08-19T16:41:00Z
110,4,2025-08-20,2011,149,90.01,10,2025-08-20T20:52:00Z
111,4,2025-08-21,2214,172,173.38,8,2025-08-21T10:42:00Z
112,4,2025-08-22,628,43,34.9,3,2025-08-22T09:42:00Z
113,4,2025-08-23,1840,123,137.78,6,2025-08-23T10:16:00Z
114,4,2025-08-24,1524,27,38.65,2,2025-08-24T00:42:00Z
115,4,2025-08-25,3760,180,167.14,4,2025-08-25T11:39:00Z
116,4,2025-08-26,3298,148,143.39,0,2025-08-26T08:35:00Z
117,4,2025-08-27,736,55,52.98,4,2025-08-27T03:01:00Z
118,4,2025-08-28,2780,146,100.01,2,2025-08-28T17:00:00Z
119,4,2025-08-29,2462,94,62.47,9,2025-08-29T03:29:00Z
120,4,2025-08-30,681,37,20.93,4,2025-08-30T09:32:00Z
121,4,2025-08-31,3089,90,136.68,10,2025-08-31T07:29:00Z
