id,order_id,product_id,quantity,unit_price,_fivetran_synced
1,1,7,2,44.99,2025-05-27T21:56:00Z
2,2,7,2,44.99,2025-11-19T08:05:00Z
3,2,9,1,29.99,2025-11-19T04:47:00Z
4,2,4,1,54.99,2025-11-19T01:14:00Z
5,3,8,1,14.99,2025-10-18T20:25:00Z
6,3,14,1,39.99,2025-10-18T01:51:00Z
7,4,1,1,19.99,2025-10-08T02:36:00Z
8,4,10,1,49.99,2025-10-08T15:02:00Z
9,5,13,1,24.99,2025-04-25T18:50:00Z
10,5,7,1,44.99,2025-04-25T01:18:00Z
11,6,8,2,14.99,2025-06-22T10:18:00Z
12,6,6,1,119.99,2025-06-22T13:02:00Z
13,6,15,2,17.99,2025-06-22T21:24:00Z
14,7,8,1,14.99,2025-08-01T00:09:00Z
15,7,13,2,24.99,2025-08-01T17:55:00Z
16,8,5,1,79.99,2026-05-14T08:36:00Z
17,9,15,1,17.99,2025-10-04T14:23:00Z
18,9,9,2,29.99,2025-10-04T10:23:00Z
19,9,2,1,64.99,2025-10-04T16:28:00Z
20,10,4,1,54.99,2025-08-13T17:00:00Z
21,10,3,2,89.99,2025-08-13T09:24:00Z
22,10,3,1,89.99,2025-08-13T02:14:00Z
23,11,8,1,14.99,2025-10-16T23:30:00Z
24,11,2,1,64.99,2025-10-16T01:34:00Z
25,11,3,2,89.99,2025-10-16T04:40:00Z
26,11,4,1,54.99,2025-10-16T01:38:00Z
27,12,14,1,39.99,2026-05-02T21:27:00Z
28,13,5,1,79.99,2025-08-17T11:26:00Z
29,13,8,1,14.99,2025-08-17T22:50:00Z
30,13,3,3,89.99,2025-08-17T13:22:00Z
31,13,15,1,17.99,2025-08-17T12:52:00Z
32,14,7,1,44.99,2025-04-06T23:00:00Z
33,14,8,2,14.99,2025-04-06T04:40:00Z
34,14,8,1,14.99,2025-04-06T18:06:00Z
35,14,1,1,19.99,2025-04-06T06:26:00Z
36,15,4,3,54.99,2026-03-23T18:00:00Z
37,16,7,1,44.99,2025-10-07T17:38:00Z
38,17,10,2,49.99,2025-06-23T03:40:00Z
39,17,8,1,14.99,2025-06-23T01:42:00Z
40,17,5,2,79.99,2025-06-23T06:14:00Z
41,18,11,1,69.99,2026-05-03T13:43:00Z
42,19,14,1,39.99,2025-08-02T18:27:00Z
43,19,3,2,89.99,2025-08-02T12:46:00Z
44,20,13,1,24.99,2025-06-28T03:40:00Z
45,21,2,1,64.99,2026-01-21T00:40:00Z
46,22,10,1,49.99,2026-04-30T23:46:00Z
47,22,3,3,89.99,2026-04-30T20:40:00Z
48,22,13,1,24.99,2026-04-30T07:41:00Z
49,22,15,1,17.99,2026-04-30T06:34:00Z
50,23,15,1,17.99,2026-06-05T00:40:00Z
51,24,5,1,79.99,2026-01-22T05:05:00Z
52,25,13,1,24.99,2025-05-10T02:31:00Z
53,26,13,1,24.99,2026-02-15T09:00:00Z
54,26,15,1,17.99,2026-02-15T18:40:00Z
55,26,10,2,49.99,2026-02-15T03:21:00Z
56,26,6,1,119.99,2026-02-15T19:38:00Z
57,27,9,1,29.99,2026-01-05T16:48:00Z
58,27,3,1,89.99,2026-01-05T11:07:00Z
59,28,11,2,69.99,2025-07-21T22:17:00Z
60,29,2,1,64.99,2025-10-19T01:32:00Z
61,29,5,1,79.99,2025-10-19T09:38:00Z
62,30,6,1,119.99,2026-05-29T05:22:00Z
63,31,12,1,34.99,2025-08-04T10:13:00Z
64,32,10,1,49.99,2025-11-25T06:06:00Z
65,32,9,1,29.99,2025-11-25T19:56:00Z
66,33,7,1,44.99,2026-05-19T10:12:00Z
67,33,4,1,54.99,2026-05-19T15:31:00Z
68,34,15,1,17.99,2025-04-24T10:41:00Z
69,34,1,1,19.99,2025-04-24T03:53:00Z
70,34,13,1,24.99,2025-04-24T09:17:00Z
71,35,3,1,89.99,2025-09-10T10:55:00Z
72,35,12,2,34.99,2025-09-10T07:10:00Z
73,35,2,1,64.99,2025-09-10T11:52:00Z
74,36,13,1,24.99,2026-01-01T13:40:00Z
75,36,8,1,14.99,2026-01-01T16:33:00Z
76,36,4,1,54.99,2026-01-01T21:31:00Z
77,37,8,2,14.99,2025-08-22T06:31:00Z
78,37,2,1,64.99,2025-08-22T18:48:00Z
79,38,3,2,89.99,2025-12-27T03:58:00Z
80,38,3,1,89.99,2025-12-27T11:24:00Z
81,39,8,1,14.99,2025-11-18T14:22:00Z
82,40,5,1,79.99,2025-08-14T15:33:00Z
83,41,15,1,17.99,2025-11-08T08:15:00Z
84,42,9,2,29.99,2025-05-04T19:30:00Z
85,43,8,1,14.99,2026-04-14T15:55:00Z
86,43,4,1,54.99,2026-04-14T01:52:00Z
87,44,3,2,89.99,2025-04-09T03:19:00Z
88,45,8,1,14.99,2026-05-17T14:00:00Z
89,46,14,1,39.99,2026-05-29T03:17:00Z
90,46,11,1,69.99,2026-05-29T20:01:00Z
91,46,3,3,89.99,2026-05-29T07:42:00Z
92,47,11,1,69.99,2025-06-12T10:25:00Z
93,48,3,1,89.99,2026-01-27T09:39:00Z
94,48,9,1,29.99,2026-01-27T09:31:00Z
95,49,9,1,29.99,2025-08-26T02:45:00Z
96,49,5,1,79.99,2025-08-26T23:12:00Z
97,49,7,1,44.99,2025-08-26T02:18:00Z
98,49,4,1,54.99,2025-08-26T11:15:00Z
99,50,5,1,79.99,2026-05-21T05:36:00Z
100,51,5,1,79.99,2025-11-10T17:12:00Z
101,51,5,1,79.99,2025-11-10T09:36:00Z
102,51,15,1,17.99,2025-11-10T17:11:00Z
103,52,10,2,49.99,2025-10-10T07:37:00Z
104,52,9,1,29.99,2025-10-10T19:34:00Z
105,52,15,1,17.99,2025-10-10T09:03:00Z
106,53,14,1,39.99,2026-04-22T01:05:00Z
107,53,1,1,19.99,2026-04-22T20:06:00Z
108,53,6,1,119.99,2026-04-22T09:36:00Z
109,54,12,1,34.99,2025-12-03T02:00:00Z
110,54,3,1,89.99,2025-12-03T03:33:00Z
111,55,15,1,17.99,2025-05-20T12:30:00Z
112,55,3,2,89.99,2025-05-20T17:16:00Z
113,56,11,1,69.99,2026-05-26T04:52:00Z
114,56,12,1,34.99,2026-05-26T05:32:00Z
115,57,10,1,49.99,2026-04-15T21:17:00Z
116,57,7,1,44.99,2026-04-15T03:29:00Z
117,58,3,1,89.99,2025-10-31T16:13:00Z
118,59,6,1,119.99,2025-09-26T18:21:00Z
119,59,8,2,14.99,2025-09-26T04:17:00Z
120,60,8,1,14.99,2026-05-07T15:38:00Z
121,60,11,1,69.99,2026-05-07T22:59:00Z
122,60,9,2,29.99,2026-05-07T16:16:00Z
123,61,7,1,44.99,2025-06-06T00:54:00Z
124,61,12,1,34.99,2025-06-06T03:42:00Z
125,62,14,2,39.99,2025-05-25T14:48:00Z
126,63,7,1,44.99,2025-10-09T20:36:00Z
127,63,9,1,29.99,2025-10-09T08:31:00Z
128,64,2,1,64.99,2025-11-11T21:46:00Z
129,64,15,2,17.99,2025-11-11T16:31:00Z
130,65,15,1,17.99,2025-07-07T04:51:00Z
131,65,2,1,64.99,2025-07-07T20:24:00Z
132,66,10,1,49.99,2026-06-22T16:59:00Z
133,67,10,1,49.99,2026-02-07T08:41:00Z
134,67,1,1,19.99,2026-02-07T13:16:00Z
135,67,4,1,54.99,2026-02-07T01:08:00Z
136,68,4,1,54.99,2025-07-14T18:57:00Z
137,68,10,2,49.99,2025-07-14T01:22:00Z
138,68,2,2,64.99,2025-07-14T19:47:00Z
139,69,2,1,64.99,2026-02-08T16:14:00Z
140,69,11,1,69.99,2026-02-08T15:19:00Z
141,69,13,2,24.99,2026-02-08T07:01:00Z
142,70,1,1,19.99,2025-04-29T01:24:00Z
143,70,13,1,24.99,2025-04-29T04:27:00Z
144,71,13,1,24.99,2026-03-26T23:15:00Z
145,72,12,2,34.99,2026-05-22T07:28:00Z
146,72,12,1,34.99,2026-05-22T11:49:00Z
147,73,9,1,29.99,2026-01-08T11:57:00Z
148,73,7,2,44.99,2026-01-08T19:31:00Z
149,74,9,1,29.99,2025-08-22T11:46:00Z
150,75,8,3,14.99,2026-05-23T00:31:00Z
151,75,14,1,39.99,2026-05-23T08:37:00Z
152,76,10,2,49.99,2025-10-14T10:59:00Z
153,77,9,1,29.99,2026-05-30T18:46:00Z
154,77,10,2,49.99,2026-05-30T08:10:00Z
155,77,7,1,44.99,2026-05-30T07:08:00Z
156,78,14,1,39.99,2025-04-08T05:28:00Z
157,78,8,1,14.99,2025-04-08T00:29:00Z
158,79,10,2,49.99,2025-04-19T08:57:00Z
159,79,10,1,49.99,2025-04-19T02:28:00Z
160,80,1,3,19.99,2025-07-02T08:16:00Z
161,80,1,1,19.99,2025-07-02T11:34:00Z
162,80,12,1,34.99,2025-07-02T07:22:00Z
163,81,6,1,119.99,2025-05-26T09:39:00Z
164,81,1,1,19.99,2025-05-26T01:18:00Z
165,81,15,1,17.99,2025-05-26T18:01:00Z
166,82,12,1,34.99,2025-05-25T06:24:00Z
167,82,14,1,39.99,2025-05-25T21:46:00Z
168,82,3,1,89.99,2025-05-25T20:05:00Z
169,83,7,1,44.99,2025-05-10T03:54:00Z
170,83,15,1,17.99,2025-05-10T01:38:00Z
171,84,5,2,79.99,2025-11-28T10:15:00Z
