id,user_id,order_date,status,currency_code,gclid,_fivetran_synced
1,3,2025-05-27,completed,GBP,,2025-05-27T05:32:00Z
2,17,2025-11-19,completed,GBP,,2025-11-19T16:19:00Z
3,36,2025-10-18,completed,GBP,,2025-10-18T02:52:00Z
4,13,2025-10-08,completed,GBP,gclid-4-cv4bktcv1l,2025-10-08T17:12:00Z
5,20,2025-04-25,completed,GBP,gclid-12-18slomeyl6,2025-04-25T16:06:00Z
6,30,2025-06-22,completed,GBP,gclid-3-8ihyfz9s9v,2025-06-22T16:59:00Z
7,40,2025-08-01,completed,GBP,,2025-08-01T04:36:00Z
8,6,2026-05-14,refunded,GBP,,2026-05-14T14:20:00Z
9,5,2025-10-04,completed,GBP,gclid-15-jrj5xfeub4,2025-10-04T12:26:00Z
10,3,2025-08-13,cancelled,GBP,,2025-08-13T20:03:00Z
11,6,2025-10-16,cancelled,GBP,gclid-15-x6qd0771hl,2025-10-16T10:21:00Z
12,24,2026-05-02,completed,GBP,,2026-05-02T15:13:00Z
13,12,2025-08-17,completed,GBP,gclid-3-jc5qph6gb6,2025-08-17T13:21:00Z
14,39,2025-04-06,completed,GBP,gclid-5-l9700lfqf5,2025-04-06T03:50:00Z
15,11,2026-03-23,completed,GBP,,2026-03-23T06:22:00Z
16,2,2025-10-07,refunded,GBP,gclid-10-s5zxqomts1,2025-10-07T03:59:00Z
17,25,2025-06-23,completed,GBP,gclid-14-wz76dd4da7,2025-06-23T03:31:00Z
18,25,2026-05-03,completed,GBP,gclid-16-8m2q6x2o72,2026-05-03T16:18:00Z
19,27,2025-08-02,completed,GBP,gclid-1-fn33vm89i9,2025-08-02T06:39:00Z
20,21,2025-06-28,completed,GBP,,2025-06-28T13:14:00Z
21,17,2026-01-21,refunded,GBP,,2026-01-21T05:20:00Z
22,2,2026-04-30,completed,GBP,,2026-04-30T17:58:00Z
23,25,2026-06-05,completed,GBP,,2026-06-05T21:03:00Z
24,8,2026-01-22,cancelled,GBP,,2026-01-22T19:07:00Z
25,24,2025-05-10,completed,GBP,,2025-05-10T06:25:00Z
26,27,2026-02-15,completed,GBP,,2026-02-15T10:40:00Z
