id,visited_at,customer_id,gclid,landing_page,device_category,_fivetran_synced
1,2026-04-14T05:44:59Z,30,,/products,desktop,2026-04-14T19:17:00Z
2,2026-01-08T08:05:47Z,,gclid-3-6ekhi1rd5b,/blog/sizing-guide,tablet,2026-01-08T02:12:00Z
3,2025-12-01T03:28:05Z,38,,/products,tablet,2025-12-01T15:19:00Z
4,2026-01-17T00:37:27Z,29,,/blog/sizing-guide,tablet,2026-01-17T06:37:00Z
5,2026-05-18T20:39:48Z,27,,/checkout,mobile,2026-05-18T15:40:00Z
6,2025-06-30T10:32:30Z,,,/products/tee,mobile,2025-06-30T17:15:00Z
7,2025-09-22T08:43:35Z,,,/,desktop,2025-09-22T15:00:00Z
8,2025-09-11T16:30:31Z,28,gclid-10-d5my3gdilk,/blog/sizing-guide,tablet,2025-09-11T15:06:00Z
9,2026-03-17T09:59:39Z,,gclid-11-f124vf89x2,/blog/sizing-guide,tablet,2026-03-17T08:14:00Z
10,2025-08-13T15:59:54Z,20,,/products/tee,tablet,2025-08-13T11:53:00Z
11,2026-04-17T10:28:19Z,27,,/,mobile,2026-04-17T01:26:00Z
12,2025-09-29T20:51:08Z,,,/,tablet,2025-09-29T06:13:00Z
13,2026-03-05T22:16:18Z,28,,/blog/sizing-guide,mobile,2026-03-05T10:35:00Z
14,2026-01-12T23:12:51Z,,gclid-9-dilrzq8bxy,/about,mobile,2026-01-12T07:17:00Z
15,2026-02-05T18:24:03Z,,gclid-9-tpkq5c9035,/checkout,mobile,2026-02-05T18:12:00Z
16,2026-01-13T02:28:15Z,,,/about,mobile,2026-01-13T17:33:00Z
17,2026-05-24T09:44:01Z,,gclid-11-8n10hlinh8,/products/tee,mobile,2026-05-24T19:47:00Z
18,2025-04-12T04:07:41Z,32,,/blog/sizing-guide,desktop,2025-04-12T16:03:00Z
19,2025-12-19T11:01:36Z,33,,/blog/sizing-guide,mobile,2025-12-19T17:31:00Z
20,2025-08-23T18:21:40Z,6,gclid-4-t24d7v911p,/products/tee,mobile,2025-08-23T14:56:00Z
21,2026-06-25T23:09:41Z,37,,/products/tee,mobile,2026-06-25T16:49:00Z
22,2026-03-21T23:52:27Z,,,/products/tee,desktop,2026-03-21T19:53:00Z
23,2025-10-17T00:00:14Z,15,,/checkout,tablet,2025-10-17T10:34:00Z
24,2025-11-21T20:42:12Z,,,/products/tee,tablet,2025-11-21T18:09:00Z
25,2025-07-06T04:13:19Z,39,gclid-2-2t8llihkpj,/products,mobile,2025-07-06T00:08:00Z
26,2026-06-24T14:07:53Z,14,,/products/jacket,desktop,2026-06-24T14:28:00Z
27,2025-10-22T06:13:49Z,,,/,desktop,2025-10-22T16:58:00Z
28,2026-01-22T23:33:07Z,32,gclid-12-0lg92mjeqa,/blog/sizing-guide,mobile,2026-01-22T12:54:00Z
29,2025-05-22T11:23:19Z,,,/blog/sizing-guide,tablet,2025-05-22T09:14:00Z
30,2026-03-26T02:41:41Z,,,/,mobile,2026-03-26T23:41:00Z
31,2025-09-13T01:09:54Z,,gclid-5-sfqbvh0kw3,/products/jacket,desktop,2025-09-13T05:59:00Z
32,2025-12-22T04:47:51Z,8,,/blog/sizing-guide,desktop,2025-12-22T00:31:00Z
33,2025-07-14T09:25:40Z,,,/checkout,mobile,2025-07-14T00:50:00Z
34,2025-04-14T10:01:56Z,,,/products,mobile,2025-04-14T01:34:00Z
35,2025-10-11T19:46:33Z,23,gclid-8-d9er94tevw,/products/tee,mobile,2025-10-11T15:57:00Z
36,2025-08-10T04:20:42Z,,,/about,tablet,2025-08-10T03:30:00Z
37,2025-12-09T23:53:54Z,33,,/products,desktop,2025-12-09T07:42:00Z
38,2025-05-13T23:06:45Z,,,/,desktop,2025-05-13T07:16:00Z
39,2025-07-04T23:42:19Z,,,/about,tablet,2025-07-04T16:33:00Z
40,2026-01-21T08:48:57Z,,gclid-5-u7b6nbhgfb,/blog/sizing-guide,desktop,2026-01-21T05:25:00Z
41,2025-09-13T00:36:30Z,37,,/products/jacket,mobile,2025-09-13T06:29:00Z
42,2026-02-13T08:34:28Z,33,gclid-11-m6j3rtxyms,/,mobile,2026-02-13T13:41:00Z
43,2025-04-14T17:08:06Z,,gclid-4-ezemqt788g,/blog/sizing-guide,tablet,2025-04-14T06:09:00Z
44,2026-06-05T21:14:49Z,,gclid-12-s2utbtty9g,/products,desktop,2026-06-05T21:10:00Z
45,2026-02-20T20:54:39Z,,gclid-5-t8phb8oosp,/products/jacket,mobile,2026-02-20T10:08:00Z
46,2026-04-05T09:00:04Z,,gclid-10-h0vc1frf89,/products,mobile,2026-04-05T05:41:00Z
47,2025-11-01T12:37:12Z,15,gclid-9-fo0vyhfjlw,/checkout,mobile,2025-11-01T16:06:00Z
48,2026-05-01T20:38:30Z,,gclid-4-tvf51z58b4,/products/tee,desktop,2026-05-01T20:29:00Z
49,2025-11-05T18:10:56Z,,,/products/jacket,mobile,2025-11-05T07:33:00Z
50,2025-05-23T02:46:38Z,,,/products,tablet,2025-05-23T15:53:00Z
51,2026-03-26T13:26:03Z,,,/products/tee,tablet,2026-03-26T23:17:00Z
52,2025-08-07T20:32:21Z,,,/products/tee,desktop,2025-08-07T00:06:00Z
53,2026-04-01T15:15:37Z,,,/about,mobile,2026-04-01T03:49:00Z
54,2026-05-29T22:31:35Z,,,/checkout,tablet,2026-05-29T21:24:00Z
55,2025-04-22T19:06:37Z,,,/,tablet,2025-04-22T03:07:00Z
56,2026-04-27T07:23:37Z,,,/products/jacket,mobile,2026-04-27T22:47:00Z
57,2025-04-21T11:41:50Z,,,/blog/sizing-guide,tablet,2025-04-21T01:25:00Z
58,2026-05-22T20:47:49Z,,,/products,tablet,2026-05-22T05:01:00Z
59,2026-02-17T10:06:18Z,,,/about,mobile,2026-02-17T08:22:00Z
60,2026-05-25T21:22:22Z,29,,/blog/sizing-guide,desktop,2026-05-25T10:29:00Z
61,2026-03-24T20:16:49Z,36,,/about,mobile,2026-03-24T23:25:00Z
62,2026-04-21T11:49:52Z,,gclid-3-mw04i3dzxl,/products/jacket,tablet,2026-04-21T05:48:00Z
63,2025-10-13T06:16:54Z,29,,/products/tee,desktop,2025-10-13T05:20:00Z
64,2025-04-09T03:12:37Z,,,/about,tablet,2025-04-09T09:48:00Z
65,2026-01-12T17:11:25Z,6,,/,tablet,2026-01-12T19:58:00Z
66,2026-06-23T21:25:54Z,,gclid-12-o7d835kuc9,/products/jacket,desktop,2026-06-23T07:35:00Z
67,2025-06-19T21:17:01Z,,,/products,desktop,2025-06-19T07:28:00Z
68,2026-02-26T06:09:00Z,,gclid-16-4otuo4uw59,/about,mobile,2026-02-26T22:50:00Z
69,2025-10-04T08:27:23Z,,,/products,mobile,2025-10-04T17:22:00Z
70,2025-05-10T22:08:20Z,,,/products,tablet,2025-05-10T18:08:00Z
71,2025-05-20T16:45:30Z,39,,/products,tablet,2025-05-20T11:45:00Z
72,2026-03-26T20:35:52Z,,,/checkout,desktop,2026-03-26T14:39:00Z
73,2025-11-11T15:37:27Z,,gclid-1-uucm5fyczu,/about,desktop,2025-11-11T22:38:00Z
74,2025-12-08T13:45:48Z,,,/products,tablet,2025-12-08T14:19:00Z
75,2026-01-01T22:43:19Z,,,/checkout,mobile,2026-01-01T04:49:00Z
76,2026-01-02T21:37:20Z,,,/,tablet,2026-01-02T11:37:00Z
77,2025-06-01T02:39:04Z,,,/about,desktop,2025-06-01T07:38:00Z
78,2026-05-02T05:53:11Z,,gclid-4-ldozy2nr4g,/products/tee,mobile,2026-05-02T05:45:00Z
79,2025-11-07T08:31:05Z,,gclid-8-mxcqdj5cuy,/,desktop,2025-11-07T00:33:00Z
80,2025-04-07T00:20:24Z,,,/checkout,tablet,2025-04-07T11:54:00Z
81,2025-05-06T05:12:40Z,14,,/products/tee,desktop,2025-05-06T21:58:00Z
82,2025-06-19T19:23:36Z,,gclid-6-s3qw752e77,/,mobile,2025-06-19T21:11:00Z
83,2026-01-28T16:10:57Z,10,gclid-11-77tnqetmni,/blog/sizing-guide,mobile,2026-01-28T06:50:00Z
84,2025-10-24T01:22:03Z,,,/blog/sizing-guide,tablet,2025-10-24T22:48:00Z
85,2026-06-04T18:06:54Z,,,/products/tee,tablet,2026-06-04T18:36:00Z
86,2026-03-26T17:33:25Z,,,/products/tee,mobile,2026-03-26T04:28:00Z
87,2026-04-26T06:18:40Z,,,/,mobile,2026-04-26T00:31:00Z
88,2025-05-24T10:35:30Z,19,,/blog/sizing-guide,tablet,2025-05-24T22:03:00Z
89,2025-12-27T01:12:05Z,,,/checkout,tablet,2025-12-27T05:41:00Z
90,2025-09-08T23:03:34Z,,gclid-13-g8b350sgnz,/products,desktop,2025-09-08T14:11:00Z
91,2025-07-23T22:20:04Z,,,/checkout,tablet,2025-07-23T19:00:00Z
92,2025-04-24T12:13:57Z,,,/,desktop,2025-04-24T21:52:00Z
93,2026-05-31T10:11:24Z,26,,/,desktop,2026-05-31T04:38:00Z
94,2025-08-05T19:42:16Z,,,/checkout,tablet,2025-08-05T20:19:00Z
95,2025-07-14T20:47:58Z,,gclid-14-3n4g2jayb1,/products,tablet,2025-07-14T22:14:00Z
96,2025-05-07T20:07:07Z,,gclid-3-gl7jy7otku,/,desktop,2025-05-07T12:52:00Z
97,2026-06-28T06:05:35Z,34,,/,mobile,2026-06-28T15:06:00Z
98,2025-05-28T07:02:53Z,5,,/products,mobile,2025-05-28T19:23:00Z
99,2025-11-11T23:09:28Z,33,,/blog/sizing-guide,desktop,2025-11-11T06:46:00Z
100,2025-09-10T01:36:00Z,17,,/products,mobile,2025-09-10T14:12:00Z
101,2026-02-24T01:25:24Z,5,gclid-8-ggxp5cituf,/products/tee,desktop,2026-02-24T03:43:00Z
102,2025-05-04T13:33:34Z,,gclid-11-nfdinu31ei,/about,desktop,2025-05-04T18:34:00Z
103,2025-05-08T00:41:52Z,,,/about,mobile,2025-05-08T09:43:00Z
104,2026-02-10T12:28:58Z,,,/checkout,mobile,2026-02-10T11:40:00Z
105,2025-11-19T15:58:57Z,,gclid-12-ik08njf0pk,/,mobile,2025-11-19T13:45:00Z
106,2026-06-25T17:54:14Z,23,,/products,mobile,2026-06-25T13:56:00Z
107,2025-10-31T14:46:28Z,24,,/products/tee,mobile,2025-10-31T21:25:00Z
108,2025-06-08T23:33:13Z,,gclid-7-802nq52nlo,/products/jacket,desktop,2025-06-08T17:41:00Z
109,2025-11-18T09:57:53Z,,,/products/jacket,desktop,2025-11-18T06:13:00Z
110,2025-09-20T17:56:10Z,,,/products/jacket,desktop,2025-09-20T14:01:00Z
111,2026-03-22T06:24:36Z,37,,/blog/sizing-guide,desktop,2026-03-22T20:25:00Z
112,2026-01-20T06:09:26Z,9,,/blog/sizing-guide,mobile,2026-01-20T10:39:00Z
113,2026-04-26T19:33:47Z,7,,/blog/sizing-guide,desktop,2026-04-26T02:01:00Z
114,2025-04-05T01:21:54Z,,gclid-12-hfh4n6v3rz,/products/tee,mobile,2025-04-05T03:51:00Z
115,2026-01-13T05:57:56Z,,gclid-14-ftq9y69xfq,/blog/sizing-guide,desktop,2026-01-13T04:56:00Z
116,2025-10-13T15:24:30Z,24,gclid-15-vg688u595c,/products,tablet,2025-10-13T09:43:00Z
117,2025-10-19T04:07:59Z,,,/about,mobile,2025-10-19T09:45:00Z
118,2026-05-11T02:22:38Z,,,/checkout,tablet,2026-05-11T13:10:00Z
119,2025-10-04T08:12:32Z,,gclid-1-r6bilqpb01,/products/jacket,tablet,2025-10-04T02:21:00Z
